INFO:root:[{'id': 0, 'score': 0.9998641, 'class': 1, 'label': 'metal', 'bbox': [0.26433313, 0.358584, 0.8547206, 0.6888338], 'time': '2018-02-20T10:38:03:993135'}]
INFO:root:[{'id': 0, 'score': 0.9998542, 'class': 1, 'label': 'metal', 'bbox': [0.2611463, 0.35717088, 0.8585689, 0.6876059], 'time': '2018-02-20T10:38:04:119050'}]
INFO:root:[{'id': 0, 'score': 0.99983466, 'class': 1, 'label': 'metal', 'bbox': [0.24410123, 0.35659152, 0.8599145, 0.6906659], 'time': '2018-02-20T10:38:04:249411'}]
INFO:root:[{'id': 0, 'score': 0.9994623, 'class': 1, 'label': 'metal', 'bbox': [0.239912, 0.35125083, 0.86265886, 0.69722885], 'time': '2018-02-20T10:38:04:374865'}]
INFO:root:[{'id': 0, 'score': 0.99974805, 'class': 1, 'label': 'metal', 'bbox': [0.25785783, 0.3561666, 0.86602664, 0.69345105], 'time': '2018-02-20T10:38:04:499860'}]
INFO:root:[{'id': 0, 'score': 0.9997037, 'class': 1, 'label': 'metal', 'bbox': [0.26629254, 0.35536322, 0.8615873, 0.69409883], 'time': '2018-02-20T10:38:04:624215'}]
INFO:root:[{'id': 0, 'score': 0.9993376, 'class': 1, 'label': 'metal', 'bbox': [0.27257383, 0.35423946, 0.8647429, 0.68988466], 'time': '2018-02-20T10:38:04:748684'}]
INFO:root:[{'id': 0, 'score': 0.99966156, 'class': 1, 'label': 'metal', 'bbox': [0.28239226, 0.35678244, 0.853503, 0.68757534], 'time': '2018-02-20T10:38:04:873710'}]
INFO:root:[{'id': 0, 'score': 0.9995577, 'class': 1, 'label': 'metal', 'bbox': [0.28972733, 0.37315345, 0.8634032, 0.68267274], 'time': '2018-02-20T10:38:04:998294'}]
INFO:root:[{'id': 0, 'score': 0.99771523, 'class': 1, 'label': 'metal', 'bbox': [0.2759017, 0.3640822, 0.84816, 0.6751907], 'time': '2018-02-20T10:38:05:121746'}]
INFO:root:[{'id': 0, 'score': 0.9995012, 'class': 1, 'label': 'metal', 'bbox': [0.28755903, 0.3804075, 0.86185324, 0.68484634], 'time': '2018-02-20T10:38:05:247849'}]
INFO:root:[{'id': 0, 'score': 0.99910873, 'class': 1, 'label': 'metal', 'bbox': [0.28886536, 0.36628023, 0.86358345, 0.6667944], 'time': '2018-02-20T10:38:05:368054'}]
INFO:root:[{'id': 0, 'score': 0.99920374, 'class': 2, 'label': 'plastic', 'bbox': [0.05794379, 0.28121966, 0.9627371, 0.7184831], 'time': '2018-02-20T10:38:07:624856'}]
INFO:root:[{'id': 0, 'score': 0.99998736, 'class': 2, 'label': 'plastic', 'bbox': [0.11670861, 0.3475919, 0.96506345, 0.7066692], 'time': '2018-02-20T10:38:07:750952'}]
INFO:root:[{'id': 0, 'score': 0.99998736, 'class': 2, 'label': 'plastic', 'bbox': [0.10861516, 0.30456337, 0.95210373, 0.6565633], 'time': '2018-02-20T10:38:07:883045'}]
INFO:root:[{'id': 0, 'score': 0.9999877, 'class': 2, 'label': 'plastic', 'bbox': [0.096544, 0.30235994, 0.9931122, 0.68878436], 'time': '2018-02-20T10:38:08:014240'}]
INFO:root:[{'id': 0, 'score': 0.9999896, 'class': 2, 'label': 'plastic', 'bbox': [0.11391431, 0.31106198, 1.0, 0.68500465], 'time': '2018-02-20T10:38:08:138935'}]
INFO:root:[{'id': 0, 'score': 0.9999939, 'class': 2, 'label': 'plastic', 'bbox': [0.11461288, 0.28353834, 0.99405235, 0.673949], 'time': '2018-02-20T10:38:08:268526'}]
INFO:root:[{'id': 0, 'score': 0.99999475, 'class': 2, 'label': 'plastic', 'bbox': [0.12245718, 0.2792902, 0.99338245, 0.67081547], 'time': '2018-02-20T10:38:08:396647'}]
INFO:root:[{'id': 0, 'score': 0.99999475, 'class': 2, 'label': 'plastic', 'bbox': [0.116222054, 0.2919966, 0.99170506, 0.6739435], 'time': '2018-02-20T10:38:08:519305'}]
